quest_id,quest_number,quest_title,act,recommended_level,quest_type,original_primary_location,required_world_map_location,map_category,location_min_level,difficulty_band,required_primary_sublocation,secondary_sublocations,subquest_area_path,map_coverage_purpose,enemy_gate,gating_status
Q047,47,Cut the Black Root,2 — The Verdant Accord,8,Dungeon,Elderbloom Canopy,The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,Geode Narrows,Jawbone Switchback | Pack-Hunter Ledge | Choke-Canyon Basin,Geode Narrows > Jawbone Switchback > Pack-Hunter Ledge > Choke-Canyon Basin > Elderbloom Canopy > The Heavy-Chewer Canyons exit / hub-state update,Red-rock choke-point region for Gnarl-Maw and hound-style movement tests,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q048,48,The Thorn Choir Unmasked,2 — The Verdant Accord,8,Assault,Amberback Crossing,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Kaelen’s Treetop Camp,Suspended Rope Bridges | Beast-Back Platforms | Upper Canopy Safe Nests,Kaelen’s Treetop Camp > Suspended Rope Bridges > Beast-Back Platforms > Upper Canopy Safe Nests > Amberback Crossing > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q049,49,Awaken the Elderbloom Node,2 — The Verdant Accord,8,Boss,The Sapglass Labyrinth,The Whispering Glade,Ethereal & Resonant Zones,6,Early,Lumenroot Meadow,Glow-Vine Path | Silent Pool | Combo-Lit Hidden Trail,Lumenroot Meadow > Glow-Vine Path > Silent Pool > Combo-Lit Hidden Trail > The Sapglass Labyrinth > The Whispering Glade exit / hub-state update,Bioluminescent twilight forest that responds to combo meter intensity,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q050,50,The Accord Signed in Greenfire,2 — The Verdant Accord,8,Resolution,Rootcourt Hollow,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Suspended Rope Bridges,Beast-Back Platforms | Upper Canopy Safe Nests | Sanctuary Water Steps,Suspended Rope Bridges > Beast-Back Platforms > Upper Canopy Safe Nests > Sanctuary Water Steps > Rootcourt Hollow > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q051,51,The Gate That Taxes Breath,3 — The Iron Crown Rebellion,9,Investigation,Cindervale Gate,The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,Jawbone Switchback,Pack-Hunter Ledge | Choke-Canyon Basin | Echoing Redstone Gate,Jawbone Switchback > Pack-Hunter Ledge > Choke-Canyon Basin > Echoing Redstone Gate > Cindervale Gate > The Heavy-Chewer Canyons exit / hub-state update,Red-rock choke-point region for Gnarl-Maw and hound-style movement tests,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q052,52,Ashline Tenement Ledger,3 — The Iron Crown Rebellion,9,Rescue,Ashline Tenements,The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,Spark’s Signal Den,Neon Rail Concourse | Express-Line Switchroom | Dead Platform Twelve,Spark’s Signal Den > Neon Rail Concourse > Express-Line Switchroom > Dead Platform Twelve > Ashline Tenements > The Subterranean Grid exit / hub-state update,Fast-travel unlock network beneath the Spire,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q053,53,The Defector’s Brand,3 — The Iron Crown Rebellion,9,Defense,Elemental Chainhouse,The On-Demand Arteries,Urban Sprawl & Transit Networks,4,Early,Lane-Swap Bridges,Automated Toll Spine | Overpass Leap Chain | Service Vehicle Depot,Lane-Swap Bridges > Automated Toll Spine > Overpass Leap Chain > Service Vehicle Depot > Elemental Chainhouse > The On-Demand Arteries exit / hub-state update,Vehicle-roof traversal and speed-lane combat space,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q054,54,Strike Bells at Foundry Nine,3 — The Iron Crown Rebellion,9,Stealth,Propaganda Mint,The Micro-Transaction Markets,Entertainment & Festival Hubs,4,Early,Coin-Dispenser Arcade,Neon Vendor Labyrinth | Prize-Chest Alley | Market Combat Stage,Coin-Dispenser Arcade > Neon Vendor Labyrinth > Prize-Chest Alley > Market Combat Stage > Propaganda Mint > The Micro-Transaction Markets exit / hub-state update,Distracting loot-noise combat hub that tests focus under visual clutter,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q055,55,Elemental Chainhouse Intake,3 — The Iron Crown Rebellion,9,Crafting,Foundry Nine,The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,Pack-Hunter Ledge,Choke-Canyon Basin | Echoing Redstone Gate | Geode Narrows,Pack-Hunter Ledge > Choke-Canyon Basin > Echoing Redstone Gate > Geode Narrows > Foundry Nine > The Heavy-Chewer Canyons exit / hub-state update,Red-rock choke-point region for Gnarl-Maw and hound-style movement tests,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q056,56,Sabotage Without Slaughter,3 — The Iron Crown Rebellion,9,Diplomacy,The Brass Court,The On-Demand Arteries,Urban Sprawl & Transit Networks,4,Early,Automated Toll Spine,Overpass Leap Chain | Service Vehicle Depot | RideShare Roofway,Automated Toll Spine > Overpass Leap Chain > Service Vehicle Depot > RideShare Roofway > The Brass Court > The On-Demand Arteries exit / hub-state update,Vehicle-roof traversal and speed-lane combat space,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q057,57,The Propaganda Mint,3 — The Iron Crown Rebellion,9,Exploration,Molten Rail Yard,The Micro-Transaction Markets,Entertainment & Festival Hubs,4,Early,Neon Vendor Labyrinth,Prize-Chest Alley | Market Combat Stage | Slot-Lantern Bazaar,Neon Vendor Labyrinth > Prize-Chest Alley > Market Combat Stage > Slot-Lantern Bazaar > Molten Rail Yard > The Micro-Transaction Markets exit / hub-state update,Distracting loot-noise combat hub that tests focus under visual clutter,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q058,58,Doctor Hesh’s Impossible Clinic,3 — The Iron Crown Rebellion,10,Dungeon,Cindervale Gate,The Molten Forge,Forgotten Depths & Industrial Grids,10,Early-to-Mid,Lava-Tide Walkways,Slagfall Gantry | Thermal Updraft Shafts | Warden Hammer Floor,Lava-Tide Walkways > Slagfall Gantry > Thermal Updraft Shafts > Warden Hammer Floor > Cindervale Gate > The Molten Forge exit / hub-state update,Deep volcanic production basin and industrial escalation zone,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q059,59,The Brass Court Summons,3 — The Iron Crown Rebellion,10,Boss,Ashline Tenements,The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,Choke-Canyon Basin,Echoing Redstone Gate | Geode Narrows | Jawbone Switchback,Choke-Canyon Basin > Echoing Redstone Gate > Geode Narrows > Jawbone Switchback > Ashline Tenements > The Heavy-Chewer Canyons exit / hub-state update,Red-rock choke-point region for Gnarl-Maw and hound-style movement tests,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q060,60,A Union Saint in Chains,3 — The Iron Crown Rebellion,10,Moral,Elemental Chainhouse,The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,Neon Rail Concourse,Express-Line Switchroom | Dead Platform Twelve | Train-Hazard Arena,Neon Rail Concourse > Express-Line Switchroom > Dead Platform Twelve > Train-Hazard Arena > Elemental Chainhouse > The Subterranean Grid exit / hub-state update,Fast-travel unlock network beneath the Spire,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q061,61,Molten Rail Yard Run,3 — The Iron Crown Rebellion,10,Assault,Propaganda Mint,The Molten Forge,Forgotten Depths & Industrial Grids,10,Early-to-Mid,Slagfall Gantry,Thermal Updraft Shafts | Warden Hammer Floor | Volcanic Intake Gate,Slagfall Gantry > Thermal Updraft Shafts > Warden Hammer Floor > Volcanic Intake Gate > Propaganda Mint > The Molten Forge exit / hub-state update,Deep volcanic production basin and industrial escalation zone,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q062,62,The Inquisitor’s Census,3 — The Iron Crown Rebellion,10,Escort,Foundry Nine,The Molten Forge,Forgotten Depths & Industrial Grids,10,Early-to-Mid,Thermal Updraft Shafts,Warden Hammer Floor | Volcanic Intake Gate | Lava-Tide Walkways,Thermal Updraft Shafts > Warden Hammer Floor > Volcanic Intake Gate > Lava-Tide Walkways > Foundry Nine > The Molten Forge exit / hub-state update,Deep volcanic production basin and industrial escalation zone,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q063,63,Vale Crix’s Trial,3 — The Iron Crown Rebellion,10,Puzzle,The Brass Court,The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,Echoing Redstone Gate,Geode Narrows | Jawbone Switchback | Pack-Hunter Ledge,Echoing Redstone Gate > Geode Narrows > Jawbone Switchback > Pack-Hunter Ledge > The Brass Court > The Heavy-Chewer Canyons exit / hub-state update,Red-rock choke-point region for Gnarl-Maw and hound-style movement tests,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q064,64,Fuel for the Hunger Engines,3 — The Iron Crown Rebellion,11,Heist,Molten Rail Yard,The On-Demand Arteries,Urban Sprawl & Transit Networks,4,Early,Overpass Leap Chain,Service Vehicle Depot | RideShare Roofway | Lane-Swap Bridges,Overpass Leap Chain > Service Vehicle Depot > RideShare Roofway > Lane-Swap Bridges > Molten Rail Yard > The On-Demand Arteries exit / hub-state update,Vehicle-roof traversal and speed-lane combat space,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q065,65,Blueprints Under the Ash,3 — The Iron Crown Rebellion,11,Network,Cindervale Gate,The Micro-Transaction Markets,Entertainment & Festival Hubs,4,Early,Prize-Chest Alley,Market Combat Stage | Slot-Lantern Bazaar | Coin-Dispenser Arcade,Prize-Chest Alley > Market Combat Stage > Slot-Lantern Bazaar > Coin-Dispenser Arcade > Cindervale Gate > The Micro-Transaction Markets exit / hub-state update,Distracting loot-noise combat hub that tests focus under visual clutter,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q066,66,The Crown Override Rumor,3 — The Iron Crown Rebellion,11,Investigation,Ashline Tenements,The Molten Forge,Forgotten Depths & Industrial Grids,10,Early-to-Mid,Warden Hammer Floor,Volcanic Intake Gate | Lava-Tide Walkways | Slagfall Gantry,Warden Hammer Floor > Volcanic Intake Gate > Lava-Tide Walkways > Slagfall Gantry > Ashline Tenements > The Molten Forge exit / hub-state update,Deep volcanic production basin and industrial escalation zone,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q067,67,Rescue at Furnace Mile,3 — The Iron Crown Rebellion,11,Rescue,Elemental Chainhouse,The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,Geode Narrows,Jawbone Switchback | Pack-Hunter Ledge | Choke-Canyon Basin,Geode Narrows > Jawbone Switchback > Pack-Hunter Ledge > Choke-Canyon Basin > Elemental Chainhouse > The Heavy-Chewer Canyons exit / hub-state update,Red-rock choke-point region for Gnarl-Maw and hound-style movement tests,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q068,68,The Clockwork Witness,3 — The Iron Crown Rebellion,11,Defense,Propaganda Mint,The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,Express-Line Switchroom,Dead Platform Twelve | Train-Hazard Arena | Spark’s Signal Den,Express-Line Switchroom > Dead Platform Twelve > Train-Hazard Arena > Spark’s Signal Den > Propaganda Mint > The Subterranean Grid exit / hub-state update,Fast-travel unlock network beneath the Spire,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q069,69,Broadcast from the Smokestacks,3 — The Iron Crown Rebellion,11,Stealth,Foundry Nine,The Molten Forge,Forgotten Depths & Industrial Grids,10,Early-to-Mid,Volcanic Intake Gate,Lava-Tide Walkways | Slagfall Gantry | Thermal Updraft Shafts,Volcanic Intake Gate > Lava-Tide Walkways > Slagfall Gantry > Thermal Updraft Shafts > Foundry Nine > The Molten Forge exit / hub-state update,Deep volcanic production basin and industrial escalation zone,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q070,70,Krann’s Peace Offer,3 — The Iron Crown Rebellion,12,Crafting,The Brass Court,The Magma-Core Forges,High-Fantasy Fronts,11,Mid,Molten Iron Rivers,Hydraulic Hammer Row | Anvil Timing Hall | Forge-Crane Bridges | Core Armory Vault,Molten Iron Rivers > Hydraulic Hammer Row > Anvil Timing Hall > Forge-Crane Bridges > Core Armory Vault > The Brass Court > The Magma-Core Forges exit / hub-state update,Armory complex with molten rivers and timed hydraulic hammers,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q071,71,The Iron Crown Lies,3 — The Iron Crown Rebellion,12,Diplomacy,Molten Rail Yard,The Scrap-Yard Labyrinth,Forgotten Depths & Industrial Grids,11,Mid,Magnetized Wall Maze,Walker-Bone Ramparts | Crushed Starship Stack | Scrap-Tek Salvage Yard | Junkyard Minotaur Turn,Magnetized Wall Maze > Walker-Bone Ramparts > Crushed Starship Stack > Scrap-Tek Salvage Yard > Junkyard Minotaur Turn > Molten Rail Yard > The Scrap-Yard Labyrinth exit / hub-state update,Magnetized maze of crushed starships and mechanical walkers,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q072,72,Free Gear Uprising,3 — The Iron Crown Rebellion,12,Dungeon,Cindervale Gate,The On-Demand Arteries,Urban Sprawl & Transit Networks,4,Early,Service Vehicle Depot,RideShare Roofway | Lane-Swap Bridges | Automated Toll Spine,Service Vehicle Depot > RideShare Roofway > Lane-Swap Bridges > Automated Toll Spine > Cindervale Gate > The On-Demand Arteries exit / hub-state update,Vehicle-roof traversal and speed-lane combat space,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q073,73,Break the Chainhouse,3 — The Iron Crown Rebellion,12,Assault,Ashline Tenements,The Micro-Transaction Markets,Entertainment & Festival Hubs,4,Early,Market Combat Stage,Slot-Lantern Bazaar | Coin-Dispenser Arcade | Neon Vendor Labyrinth,Market Combat Stage > Slot-Lantern Bazaar > Coin-Dispenser Arcade > Neon Vendor Labyrinth > Ashline Tenements > The Micro-Transaction Markets exit / hub-state update,Distracting loot-noise combat hub that tests focus under visual clutter,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q074,74,Duel with Lord-Marshal Krann,3 — The Iron Crown Rebellion,12,Boss,Elemental Chainhouse,The Molten Forge,Forgotten Depths & Industrial Grids,10,Early-to-Mid,Lava-Tide Walkways,Slagfall Gantry | Thermal Updraft Shafts | Warden Hammer Floor,Lava-Tide Walkways > Slagfall Gantry > Thermal Updraft Shafts > Warden Hammer Floor > Elemental Chainhouse > The Molten Forge exit / hub-state update,Deep volcanic production basin and industrial escalation zone,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q075,75,Cindervale Breathes Free,3 — The Iron Crown Rebellion,12,Resolution,Propaganda Mint,The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,Jawbone Switchback,Pack-Hunter Ledge | Choke-Canyon Basin | Echoing Redstone Gate,Jawbone Switchback > Pack-Hunter Ledge > Choke-Canyon Basin > Echoing Redstone Gate > Propaganda Mint > The Heavy-Chewer Canyons exit / hub-state update,Red-rock choke-point region for Gnarl-Maw and hound-style movement tests,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q076,76,Mirage Gate Opens Once,4 — Glass Desert and the Sunken Star,13,Investigation,Mirage Gate,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Ash Flat Expanse,Pyro Stage Ring | Rusted Art-Car Grave | Bass-Thrum Sandfield,Ash Flat Expanse > Pyro Stage Ring > Rusted Art-Car Grave > Bass-Thrum Sandfield > Mirage Gate > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q077,77,The Navigator’s Thirst,4 — Glass Desert and the Sunken Star,13,Rescue,Glassdune Sea,The Burning Playa,Digital & Evolutionary Plains,13,Mid,Nightfall Dust Flat,Fire-Breathing Art-Car Route | Mobile Wall-Run Circuit | Visibility-Zero Storm,Nightfall Dust Flat > Fire-Breathing Art-Car Route > Mobile Wall-Run Circuit > Visibility-Zero Storm > Glassdune Sea > The Burning Playa exit / hub-state update,"Night desert with mobile art cars, dust storms, and audio-cue defense","Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q078,78,Tracks Across Glassdune Sea,4 — Glass Desert and the Sunken Star,13,Defense,The Oasis That Remembers,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Pyro Stage Ring,Rusted Art-Car Grave | Bass-Thrum Sandfield | Fire-Spout Causeway,Pyro Stage Ring > Rusted Art-Car Grave > Bass-Thrum Sandfield > Fire-Spout Causeway > The Oasis That Remembers > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q079,79,Oasis of Borrowed Memories,4 — Glass Desert and the Sunken Star,13,Stealth,Vault of Shattered Suns,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Rusted Art-Car Grave,Bass-Thrum Sandfield | Fire-Spout Causeway | Ash Flat Expanse,Rusted Art-Car Grave > Bass-Thrum Sandfield > Fire-Spout Causeway > Ash Flat Expanse > Vault of Shattered Suns > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q080,80,The Glassmith’s Price,4 — Glass Desert and the Sunken Star,13,Crafting,Caravan of Mirrors,The Burning Playa,Digital & Evolutionary Plains,13,Mid,Fire-Breathing Art-Car Route,Mobile Wall-Run Circuit | Visibility-Zero Storm | Alkaline Camp Ruins,Fire-Breathing Art-Car Route > Mobile Wall-Run Circuit > Visibility-Zero Storm > Alkaline Camp Ruins > Caravan of Mirrors > The Burning Playa exit / hub-state update,"Night desert with mobile art cars, dust storms, and audio-cue defense","Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q081,81,A Caravan That Reflects Lies,4 — Glass Desert and the Sunken Star,13,Diplomacy,Black Comet Crater,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Bass-Thrum Sandfield,Fire-Spout Causeway | Ash Flat Expanse | Pyro Stage Ring,Bass-Thrum Sandfield > Fire-Spout Causeway > Ash Flat Expanse > Pyro Stage Ring > Black Comet Crater > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q082,82,Dustbound Pilgrim Trial,4 — Glass Desert and the Sunken Star,13,Exploration,The Sunken Star Chamber,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Fire-Spout Causeway,Ash Flat Expanse | Pyro Stage Ring | Rusted Art-Car Grave,Fire-Spout Causeway > Ash Flat Expanse > Pyro Stage Ring > Rusted Art-Car Grave > The Sunken Star Chamber > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q083,83,The Black Comet Map,4 — Glass Desert and the Sunken Star,14,Dungeon,Mirage Gate,The Sonic Badlands,Ethereal & Resonant Zones,14,Mid,Ancient Tuning Fork Field,Resonance Crack Basin | Shockwave Relay Stones | Badlands Drum Line,Ancient Tuning Fork Field > Resonance Crack Basin > Shockwave Relay Stones > Badlands Drum Line > Mirage Gate > The Sonic Badlands exit / hub-state update,Tuning-fork wasteland for shockwave timing and rhythm combat,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q084,84,Exile Prince Varo,4 — Glass Desert and the Sunken Star,14,Boss,Glassdune Sea,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Ash Flat Expanse,Pyro Stage Ring | Rusted Art-Car Grave | Bass-Thrum Sandfield,Ash Flat Expanse > Pyro Stage Ring > Rusted Art-Car Grave > Bass-Thrum Sandfield > Glassdune Sea > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q085,85,The Silent Cartographer,4 — Glass Desert and the Sunken Star,14,Moral,The Oasis That Remembers,The Burning Playa,Digital & Evolutionary Plains,13,Mid,Mobile Wall-Run Circuit,Visibility-Zero Storm | Alkaline Camp Ruins | Nightfall Dust Flat,Mobile Wall-Run Circuit > Visibility-Zero Storm > Alkaline Camp Ruins > Nightfall Dust Flat > The Oasis That Remembers > The Burning Playa exit / hub-state update,"Night desert with mobile art cars, dust storms, and audio-cue defense","Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q086,86,Shardstorm Shelter,4 — Glass Desert and the Sunken Star,14,Assault,Vault of Shattered Suns,The Sonic Badlands,Ethereal & Resonant Zones,14,Mid,Resonance Crack Basin,Shockwave Relay Stones | Badlands Drum Line | Fork-Chime Gate,Resonance Crack Basin > Shockwave Relay Stones > Badlands Drum Line > Fork-Chime Gate > Vault of Shattered Suns > The Sonic Badlands exit / hub-state update,Tuning-fork wasteland for shockwave timing and rhythm combat,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q087,87,Vault of Shattered Suns,4 — Glass Desert and the Sunken Star,14,Escort,Caravan of Mirrors,The Phonetic Wastes,Ethereal & Abstract Zones,14,Mid,Silent Dune Shelf,Crystalline Word Shards | Glass-Sound Ripple Path | Mute Horizon Gate,Silent Dune Shelf > Crystalline Word Shards > Glass-Sound Ripple Path > Mute Horizon Gate > Caravan of Mirrors > The Phonetic Wastes exit / hub-state update,Monochrome sound-crystal desert where sound becomes lethal geometry,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q088,88,The Prophet’s First Miracle,4 — Glass Desert and the Sunken Star,14,Puzzle,Black Comet Crater,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Pyro Stage Ring,Rusted Art-Car Grave | Bass-Thrum Sandfield | Fire-Spout Causeway,Pyro Stage Ring > Rusted Art-Car Grave > Bass-Thrum Sandfield > Fire-Spout Causeway > Black Comet Crater > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q089,89,"Seven Mirrors, One Truth",4 — Glass Desert and the Sunken Star,15,Heist,The Sunken Star Chamber,The Sonic Badlands,Ethereal & Resonant Zones,14,Mid,Shockwave Relay Stones,Badlands Drum Line | Fork-Chime Gate | Ancient Tuning Fork Field,Shockwave Relay Stones > Badlands Drum Line > Fork-Chime Gate > Ancient Tuning Fork Field > The Sunken Star Chamber > The Sonic Badlands exit / hub-state update,Tuning-fork wasteland for shockwave timing and rhythm combat,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q090,90,The Astrolabe’s Missing Teeth,4 — Glass Desert and the Sunken Star,15,Network,Mirage Gate,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Rusted Art-Car Grave,Bass-Thrum Sandfield | Fire-Spout Causeway | Ash Flat Expanse,Rusted Art-Car Grave > Bass-Thrum Sandfield > Fire-Spout Causeway > Ash Flat Expanse > Mirage Gate > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q091,91,Raid on the Mirror Caravan,4 — Glass Desert and the Sunken Star,15,Investigation,Glassdune Sea,The Sonic Badlands,Ethereal & Resonant Zones,14,Mid,Badlands Drum Line,Fork-Chime Gate | Ancient Tuning Fork Field | Resonance Crack Basin,Badlands Drum Line > Fork-Chime Gate > Ancient Tuning Fork Field > Resonance Crack Basin > Glassdune Sea > The Sonic Badlands exit / hub-state update,Tuning-fork wasteland for shockwave timing and rhythm combat,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
Q092,92,The Oasis Chooses a Keeper,4 — Glass Desert and the Sunken Star,15,Rescue,The Oasis That Remembers,The Playa of Ash,Terrestrial Sanctuaries,13,Mid,Bass-Thrum Sandfield,Fire-Spout Causeway | Ash Flat Expanse | Pyro Stage Ring,Bass-Thrum Sandfield > Fire-Spout Causeway > Ash Flat Expanse > Pyro Stage Ring > The Oasis That Remembers > The Playa of Ash exit / hub-state update,Bass-thrum desert basin with pyrotechnic environmental hazards,"Mid-game gate: may use Aegis Carapace, Iron-Jaw Hound, Venom-Spitter, Tremor-Fiend; late monsters remain locked.",PASS
